sku,file,url
B061S00928,B061S00928+07.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B061S00928/B061S00928%2B07.jpg
B061S00928,B061S00928+08.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B061S00928/B061S00928%2B08.jpg
B061S00928,B061S00928+09.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B061S00928/B061S00928%2B09.jpg
B201S00474,B201S00474+01.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B201S00474/B201S00474%2B01.jpg
B201S00474,B201S00474+02.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B201S00474/B201S00474%2B02.jpg
B201S00474,B201S00474+03.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B201S00474/B201S00474%2B03.jpg
B201S00474,B201S00474+04.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B201S00474/B201S00474%2B04.jpg
B201S00474,B201S00474+05.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B201S00474/B201S00474%2B05.jpg
B201S00474,B201S00474+06.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B201S00474/B201S00474%2B06.jpg
B201S00474,B201S00474+07.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B201S00474/B201S00474%2B07.jpg
B201S00474,B201S00474+08.jpg,https://raw.githubusercontent.com/nathanaelcodi3-create/amazon-product-images/main/jp-20260803-daiken50-batch2-v1/B201S00474/B201S00474%2B08.jpg
